Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR10141090_1	SRR10141090_1.fastq	Conventional base calls	Sanger / Illumina 1.9	706889.0	0.0	151.0	44.0	7.3929570271994605	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	pass
SRR10141090_2	SRR10141090_2.fastq	Conventional base calls	Sanger / Illumina 1.9	706889.0	0.0	151.0	44.0	10.47759973630938	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	pass
SRR10141091_1	SRR10141091_1.fastq	Conventional base calls	Sanger / Illumina 1.9	736930.0	0.0	151.0	50.0	8.33878387363793	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141091_2	SRR10141091_2.fastq	Conventional base calls	Sanger / Illumina 1.9	736930.0	0.0	151.0	50.0	11.5605281370008	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141092_1	SRR10141092_1.fastq	Conventional base calls	Sanger / Illumina 1.9	634730.0	0.0	151.0	45.0	8.73190175350149	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141092_2	SRR10141092_2.fastq	Conventional base calls	Sanger / Illumina 1.9	634730.0	0.0	151.0	46.0	10.5474768799332	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141093_1	SRR10141093_1.fastq	Conventional base calls	Sanger / Illumina 1.9	605344.0	0.0	151.0	45.0	8.959533752709204	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141093_2	SRR10141093_2.fastq	Conventional base calls	Sanger / Illumina 1.9	605344.0	0.0	151.0	45.0	11.288292276788074	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141094_1	SRR10141094_1.fastq	Conventional base calls	Sanger / Illumina 1.9	931856.0	0.0	151.0	46.0	7.889201765079583	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141094_2	SRR10141094_2.fastq	Conventional base calls	Sanger / Illumina 1.9	931856.0	0.0	151.0	46.0	12.911797403016198	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141095_1	SRR10141095_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1424527.0	0.0	151.0	46.0	7.758712920513129	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	
SRR10141095_2	SRR10141095_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1424527.0	0.0	151.0	46.0	12.322727574918654	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	
SRR10141096_1	SRR10141096_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1614443.0	0.0	151.0	46.0	7.046655168877315	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141096_2	SRR10141096_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1614443.0	0.0	151.0	46.0	10.098901322890118	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	warn
SRR10141097_1	SRR10141097_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1392626.0	0.0	151.0	51.0	6.77719646193594	151.0	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail	
SRR10141097_2	SRR10141097_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1392626.0	0.0	151.0	51.0	10.280938660282715	151.0	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail	
SRR10141098_1	SRR10141098_1.fastq	Conventional base calls	Sanger / Illumina 1.9	525436.0	0.0	151.0	45.0	9.474036799914737	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141098_2	SRR10141098_2.fastq	Conventional base calls	Sanger / Illumina 1.9	525436.0	0.0	151.0	45.0	12.996825493494926	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141099_1	SRR10141099_1.fastq	Conventional base calls	Sanger / Illumina 1.9	564719.0	0.0	151.0	45.0	9.229723101223794	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141099_2	SRR10141099_2.fastq	Conventional base calls	Sanger / Illumina 1.9	564719.0	0.0	151.0	46.0	14.502433953877947	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141100_1	SRR10141100_1.fastq	Conventional base calls	Sanger / Illumina 1.9	530050.0	0.0	151.0	45.0	9.433826997453071	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141100_2	SRR10141100_2.fastq	Conventional base calls	Sanger / Illumina 1.9	530050.0	0.0	151.0	45.0	14.31223469484011	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	pass
SRR10141101_1	SRR10141101_1.fastq	Conventional base calls	Sanger / Illumina 1.9	753376.0	0.0	151.0	46.0	9.253546701779722	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
SRR10141101_2	SRR10141101_2.fastq	Conventional base calls	Sanger / Illumina 1.9	753376.0	0.0	151.0	46.0	12.706006031516798	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
SRR10141102_1	SRR10141102_1.fastq	Conventional base calls	Sanger / Illumina 1.9	750880.0	0.0	151.0	45.0	8.550500745791604	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
SRR10141102_2	SRR10141102_2.fastq	Conventional base calls	Sanger / Illumina 1.9	750880.0	0.0	151.0	45.0	10.945157681653527	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
SRR10141103_1	SRR10141103_1.fastq	Conventional base calls	Sanger / Illumina 1.9	688242.0	0.0	151.0	46.0	8.272526233505076	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
SRR10141103_2	SRR10141103_2.fastq	Conventional base calls	Sanger / Illumina 1.9	688242.0	0.0	151.0	46.0	10.889774236387781	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
